,Type,Rooms,Bathroom,CarSpots,Landsize,BuildingArea,YearBuilt,Price,SellerG,DateSold,Suburb,DistanceFromCenter,Lattitude,Longtitude,Regionname
5 Alastair Ct,house,4,1.0,0.0,936.0,,1994.0,,,,Surrey Hills,10.2,-37.83065,145.09618999999995,Southern Metropolitan
5 Albert Dr,house,4,2.0,2.0,790.0,166.0,1990.0,451000.0,HAR,2017-11-25,Melton South,29.8,-37.7081,144.5628,Western Victoria
5 Alder St,house,3,1.0,2.0,451.0,121.0,1960.0,1460000.0,hockingstuart,2016-03-12,Caulfield South,9.3,-37.8874,145.019,Southern Metropolitan
5 Alexandra Cr,house,4,,,,,,,,,Surrey Hills,11.2,,,Southern Metropolitan
5 Alice St,house,3,2.0,2.0,603.0,,,1100000.0,O'Brien,2017-09-23,Cheltenham,17.9,-37.97462,145.07906,Southern Metropolitan
5 Allan St,house,4,2.0,2.0,537.0,231.33,2015.0,,,,Aberfeldie,9.1,-37.7608,144.8948,Western Metropolitan
5 Alleyne Av,house,4,,,,,,,,,Armadale,6.3,,,Southern Metropolitan
5 Alma Ct,house,5,3.0,2.0,851.0,215.0,1975.0,1530000.0,Barry,2017-07-22,Doncaster,12.4,-37.78109,145.13745,Eastern Metropolitan
5 Almora Cl,house,3,2.0,2.0,571.0,,,545000.0,O'Brien,2017-06-24,Frankston,38.0,-38.14444,145.16788,South-Eastern Metropolitan
5 Aloha Gdns,house,4,2.0,2.0,,280.0,2000.0,1300000.0,Jellis,2017-10-28,Templestowe,15.5,-37.76335,145.15538,Eastern Metropolitan
5 Aloha St,townhouse,3,,,,,,680000.0,Hunter,2016-06-27,South Kingsville,9.1,,,Western Metropolitan
5 Amalfi Ct,house,4,2.0,2.0,553.0,170.0,2010.0,600000.0,YPA,2017-07-10,Roxburgh Park,20.6,-37.62988,144.93295,Northern Metropolitan
5 Amanda Ct,house,3,1.0,1.0,687.0,122.0,1978.0,721000.0,Barry,2016-08-28,Yallambie,15.0,-37.7303,145.0823,Northern Metropolitan
5 Amberley Ct,house,3,1.0,1.0,757.0,,,1230000.0,Barry,2017-08-19,Bulleen,10.8,-37.78094,145.10131,Eastern Metropolitan
5 Amira Rd,house,4,,,,,,530000.0,Ray,2017-03-06,Wollert,25.5,,,Northern Metropolitan
5 Anderson St,house,3,1.0,1.0,,,,1571000.0,Noel,2017-09-09,Surrey Hills,10.2,-37.8301,145.09513,Southern Metropolitan
5 Andrew Ct,house,3,2.0,2.0,632.0,,,,,,Balwyn North,9.2,-37.7926,145.1048,Southern Metropolitan
5 Anfield Ct,house,4,2.0,2.0,797.0,180.0,1950.0,1185000.0,Marshall,2016-04-06,Malvern East,11.2,-37.8783,145.0869,Southern Metropolitan
5 Ann Pl,house,4,2.0,2.0,531.0,,,590000.0,LJ,2017-07-29,Seabrook,15.5,-37.87896,144.75473,Western Metropolitan
5 Annadale St,house,4,4.0,2.0,451.0,,,,,,Kew,5.4,-37.80972,145.04537,Southern Metropolitan
5 Anton Ct,house,3,1.0,2.0,532.0,,,715000.0,Thomson,2017-07-10,Chelsea Heights,27.0,-38.04645,145.13506,South-Eastern Metropolitan
5 Arama St,house,3,1.0,2.0,709.0,,,,,,Balwyn North,9.2,-37.7851,145.0974,Southern Metropolitan
5 Ardenne Cl,house,3,,,,,,,,,Burwood,10.4,,,Southern Metropolitan
5 Aris Ct,house,3,2.0,1.0,788.0,200.0,1980.0,620000.0,YPA,2018-10-02,Craigieburn,20.6,-37.59585,144.93835,Northern Metropolitan
5 Arkose St,house,4,5.0,2.0,538.0,354.0,2015.0,880000.0,Barry,2017-09-12,Greenvale,20.4,-37.62591,144.87871,Northern Metropolitan
5 Armstrong St,house,3,1.0,4.0,807.0,117.0,1196.0,1200000.0,McGrath,2017-06-24,Mount Waverley,14.2,-37.86788,145.12121000000005,Eastern Metropolitan
5 Arnold Gr,house,4,2.0,2.0,925.0,218.0,1960.0,1868000.0,hockingstuart,2016-07-05,Doncaster,13.9,-37.7869,145.1183,Eastern Metropolitan
5 Arnot St,townhouse,3,2.0,2.0,297.0,193.0,1980.0,1230000.0,hockingstuart,2016-05-28,Brighton East,10.7,-37.9124,145.0132,Southern Metropolitan
5 Aroona Ct,house,1,2.0,1.0,676.0,136.0,1965.0,1720000.0,Nelson,2016-10-15,Aberfeldie,9.1,-37.7632,144.898,Western Metropolitan
5 Aruba Av,house,3,,,,,,657700.0,Ray,2017-11-18,Point Cook,14.7,,,Western Metropolitan
5 Ashberg Dr,house,3,2.0,2.0,,123.0,2011.0,651000.0,Ray,2017-11-11,Waterways,21.5,-38.0116,145.1367,South-Eastern Metropolitan
5 Aspera Pl,house,4,2.0,2.0,612.0,,,670000.0,Eview,2017-08-07,Cranbourne North,34.7,-38.07898,145.3165,South-Eastern Metropolitan
5 Athol Ct,house,3,3.0,2.0,1060.0,,,650000.0,O'Brien,2017-12-08,Langwarrin,41.0,-38.15752,145.19127,Eastern Victoria
5 Atkins Ct,house,3,2.0,2.0,509.0,125.0,1993.0,500000.0,Ray,2017-06-17,Carrum Downs,34.9,-38.09111,145.19083999999995,South-Eastern Metropolitan
5 Austin Pl,house,4,2.0,2.0,,196.0,1985.0,,,,Templestowe,15.5,-37.76375,145.16165,Eastern Metropolitan
5 Avoca Wy,house,3,2.0,0.0,760.0,,,,,,Wantirna South,14.7,-37.86835,145.2264,Eastern Metropolitan
5 Avonbury Ct,house,4,2.0,2.0,664.0,220.0,1960.0,,,,Brighton,11.2,-37.9029,144.9895,Southern Metropolitan
5 Ball Ct,house,10,3.0,2.0,313.0,,2006.0,900000.0,Ray,2017-07-15,Bundoora,12.1,-37.71098,145.05381,Northern Metropolitan
5 Ballarat Rd,house,2,1.0,2.0,206.0,,,640000.0,Sweeney,2017-05-20,Maidstone,9.2,-37.7887,144.8828,Western Metropolitan
5 Ballater St,house,5,2.0,5.0,963.0,,,1756000.0,Frank,2016-09-17,Essendon,8.0,-37.7501,144.9048,Western Metropolitan
5 Banksia Wy,townhouse,3,,,,,,1000000.0,RT,2017-06-24,Malvern,5.9,,,Southern Metropolitan
5 Baranbali Gr,house,4,2.0,2.0,,195.0,1979.0,,,,Greensborough,16.1,-37.69738,145.11777,Northern Metropolitan
5 Barce Pl,house,4,2.0,2.0,521.0,196.0,1990.0,715000.0,Barry,2016-11-19,Heidelberg West,9.4,-37.738,145.0374,Eastern Metropolitan
5 Barmah Gra,house,4,2.0,2.0,680.0,230.0,2011.0,715000.0,YPA,2017-06-24,Greenvale,20.4,-37.61236,144.90753,Northern Metropolitan
5 Barnett St,house,4,1.0,3.0,502.0,,,830000.0,Sweeney,2017-09-16,Sunshine,10.5,-37.78209,144.84581,Western Metropolitan
5 Barrymore Rd,house,6,6.0,4.0,,622.0,1997.0,,,,Greenvale,20.4,-37.65292,144.88676,Northern Metropolitan
5 Barton Ct,house,3,1.0,1.0,459.0,120.0,1970.0,755000.0,Barry,2017-09-12,Bundoora,12.1,-37.70415,145.06153999999995,Northern Metropolitan
5 Baxter St,house,3,1.0,2.0,463.0,102.0,,1390000.0,Biggin,2016-10-15,Elsternwick,8.5,-37.8879,145.0134,Southern Metropolitan
5 Bayview St,house,2,1.0,0.0,115.0,68.0,1890.0,1000000.0,hockingstuart,2017-11-11,Prahran,4.6,-37.8518,145.0032,Southern Metropolitan
5 Beaurepaire Dr,house,4,2.0,2.0,,125.0,2010.0,631000.0,LJ,2017-10-14,Point Cook,14.7,-37.89374,144.72339,Western Metropolitan
5 Bedford St,house,5,2.0,2.0,875.0,,,,,,Box Hill,10.9,-37.82895,145.13108,Eastern Metropolitan
5 Beenak Av,house,4,3.0,2.0,608.0,227.0,2017.0,,,,Brighton East,10.3,-37.92034,145.01682,Southern Metropolitan
5 Bent St,house,4,3.0,2.0,384.0,178.0,1920.0,1445000.0,Nelson,2016-07-05,Moonee Ponds,6.9,-37.7617,144.9272,Western Metropolitan
5 Berenice Tce,house,4,2.0,2.0,632.0,,,4000000.0,Jellis,2016-10-09,Toorak,4.6,-37.8338,145.0086,Southern Metropolitan
5 Berkshire Rd,house,3,1.0,,589.0,,,595000.0,Barry,2017-08-26,Sunshine North,10.5,-37.76599,144.84445,Western Metropolitan
5 Bessell Ct,house,2,1.0,1.0,796.0,95.0,1960.0,,,,Jacana,14.0,-37.68837,144.91481000000005,Northern Metropolitan
5 Bickerton Ct,house,3,2.0,2.0,,219.0,2007.0,680000.0,O'Brien,2017-08-26,Hampton Park,33.3,-38.04215,145.26495,South-Eastern Metropolitan
5 Bigola St,house,3,1.0,3.0,691.0,,,800000.0,buyMyplace,2017-09-16,Ringwood,19.9,-37.80236,145.23916,Eastern Metropolitan
5 Bimbi Ct,house,4,2.0,2.0,913.0,,,728000.0,Fletchers,2017-10-14,Mooroolbark,26.5,-37.77238,145.31958999999995,Eastern Victoria
5 Binalong Ct,house,3,2.0,2.0,555.0,,1978.0,720000.0,Barry,2017-02-25,Yallambie,15.0,-37.7214,145.1034,Northern Metropolitan
5 Binns St,house,3,1.0,3.0,540.0,116.0,1960.0,710000.0,Village,2016-07-11,Altona North,11.1,-37.8294,144.8378,Western Metropolitan
5 Birch Sq,house,3,2.0,2.0,133.0,174.0,2000.0,1350000.0,Jellis,2016-11-27,Richmond,2.6,-37.8183,145.0079,Northern Metropolitan
5 Birdwood St,house,3,1.0,2.0,744.0,,,1120000.0,Nelson,2017-03-18,Reservoir,11.2,-37.7285,144.9961,Northern Metropolitan
5 Bischoff St,house,2,1.0,1.0,529.0,528.0,,900000.0,hockingstuart,2017-02-25,Preston,8.8,-37.7427,144.9868,Northern Metropolitan
5 Blaby St,house,3,1.0,6.0,569.0,130.0,1959.0,627500.0,C21,2017-09-30,Noble Park,22.7,-37.969,145.18226,South-Eastern Metropolitan
5 Black St,house,3,2.0,1.0,0.0,195.0,1945.0,1700000.0,Collins,2016-06-18,Brunswick,5.2,-37.7763,144.9597,Northern Metropolitan
5 Blackbird Tce,house,4,2.0,2.0,771.0,255.0,2006.0,735000.0,Ray,2017-09-23,Craigieburn,20.6,-37.57383,144.92424,Northern Metropolitan
5 Blairgowrie Ct,house,3,2.0,4.0,649.0,195.0,1967.0,3025000.0,Biggin,2017-04-22,Brighton,11.2,-37.9056,144.9893,Southern Metropolitan
5 Blairgowrie Dr,house,4,2.0,2.0,,,,695000.0,Barry,2018-03-02,Craigieburn,20.6,-37.58624,144.90553,Northern Metropolitan
5 Blamey Av,house,3,2.0,2.0,603.0,,,726000.0,Love,2017-10-28,Mill Park,17.9,-37.67509,145.06632,Northern Metropolitan
5 Bluebell Pl,house,4,2.0,2.0,581.0,244.0,2006.0,851000.0,hockingstuart,2016-07-11,Reservoir,11.2,-37.6926,144.9861,Northern Metropolitan
5 Boldrewood Pde,house,3,1.0,2.0,700.0,,,817000.0,Barry,2017-05-27,Reservoir,12.0,-37.72456,145.02292,Northern Metropolitan
5 Bonar St,house,3,1.0,2.0,,,,,,,Heidelberg Heights,8.8,-37.74554000000001,145.05541000000005,Eastern Metropolitan
5 Booth St,house,2,1.0,4.0,772.0,120.0,1940.0,1270000.0,Barry,2017-05-27,Parkdale,21.5,-37.99482,145.08459,South-Eastern Metropolitan
5 Boronia St,house,6,3.0,2.0,713.0,295.0,1928.0,1650000.0,Noel,2016-05-28,Surrey Hills,11.2,-37.8328,145.10399999999996,Southern Metropolitan
5 Bowes Pl,house,3,2.0,2.0,,120.0,1980.0,517000.0,Barry,2017-09-23,Craigieburn,20.6,-37.60663,144.93424,Northern Metropolitan
5 Boyd St,house,3,1.0,4.0,727.0,123.0,1970.0,1403000.0,Barry,2016-03-12,Doncaster,13.9,-37.7942,145.1218,Eastern Metropolitan
5 Braim St,house,3,1.0,2.0,538.0,111.0,1975.0,700000.0,Barry,2016-06-18,Sunshine North,13.3,-37.7704,144.8384,Western Metropolitan
5 Brayford Nk,house,3,,,,,,,,,Craigieburn,20.6,,,Northern Metropolitan
5 Bridge St,house,3,2.0,1.0,354.0,143.0,1910.0,1650000.0,Hodges,2016-12-11,Brighton,11.2,-37.8916,145.0017,Southern Metropolitan
5 Briggs Cr,house,2,,,,,,,,,Noble Park,22.7,,,South-Eastern Metropolitan
5 Bristol Rd,house,2,1.0,1.0,868.0,,,1190000.0,Brad,2017-09-12,Pascoe Vale,8.5,-37.71631,144.93896,Northern Metropolitan
5 Broadhurst Av,house,4,,,,,,970000.0,Harcourts,2017-06-24,Reservoir,12.0,,,Northern Metropolitan
5 Bronaldi St,house,5,3.0,2.0,695.0,292.0,1965.0,820000.0,Woodards,2017-11-18,Heathmont,21.3,-37.8326,145.2533,Eastern Metropolitan
5 Brookedge Ct,house,4,2.0,2.0,480.0,,,640000.0,YPA,2017-08-19,Craigieburn,20.6,-37.60859,144.92138,Northern Metropolitan
5 Bruce Cr,house,4,2.0,4.0,1014.0,280.0,1960.0,748888.0,Ray,2017-07-15,Ferntree Gully,24.8,-37.88189000000001,145.29148,Eastern Metropolitan
5 Bruthen St,house,3,1.0,2.0,650.0,,,975000.0,Buxton,2016-08-22,Moorabbin,14.6,-37.9378,145.0546,Southern Metropolitan
5 Buchanan Ct,house,4,,,,,,1060000.0,Barry,2017-11-18,Taylors Lakes,15.5,,,Western Metropolitan
5 Bullarto St,house,2,1.0,1.0,585.0,97.0,1950.0,1002000.0,Ray,2016-08-13,Chadstone,13.6,-37.8792,145.0948,Southern Metropolitan
5 Bundarra Ct,house,4,3.0,2.0,957.0,,,1122000.0,Ray,2017-10-28,Vermont South,17.2,-37.85677,145.19736,Eastern Metropolitan
5 Burns Ct,house,3,2.0,2.0,585.0,134.0,1960.0,909000.0,William,2016-12-11,Heidelberg Heights,10.5,-37.7358,145.0546,Eastern Metropolitan
5 Buvelot Wyn,house,3,,,,,,1232500.0,Barry,2017-09-23,Doncaster East,14.3,,,Eastern Metropolitan
5 Byrne Cr,house,3,,,,,,734000.0,Buckingham,2017-05-27,Watsonia North,14.5,,,Northern Metropolitan
5 Byron Ct,house,3,2.0,2.0,1103.0,126.8,1976.0,650000.0,iTRAK,2017-08-07,Mooroolbark,26.5,-37.78695,145.32513,Eastern Victoria
5 Cam St,house,3,2.0,1.0,610.0,21.0,1970.0,817000.0,Ray,2017-03-06,Greensborough,16.1,-37.71437,145.10112,Northern Metropolitan
5 Caminole Wyn,house,5,,,,,,1325000.0,Fletchers,2017-07-22,Templestowe,15.5,,,Eastern Metropolitan
5 Carey Ct,house,3,1.0,0.0,534.0,,1965.0,825000.0,Barry,2017-05-27,Keilor East,11.7,-37.7444,144.86123999999995,Western Metropolitan
5 Carnell Pl,house,3,2.0,2.0,,,1996.0,1100000.0,Ray,2017-10-21,Balwyn North,9.7,-37.79164,145.09838,Southern Metropolitan
5 Carrington St,house,4,2.0,2.0,619.0,254.0,1990.0,1850000.0,Jellis,2016-07-11,Balwyn North,9.2,-37.8025,145.0843,Southern Metropolitan
5 Carroll St,house,3,1.0,1.0,146.0,117.0,1890.0,,,,North Melbourne,2.3,-37.7959,144.9455,Northern Metropolitan
5 Carson St,house,3,1.0,2.0,874.0,,,665000.0,Love,2017-08-04,Reservoir,11.2,-37.6982,145.0043,Northern Metropolitan
5 Chapman St,house,5,2.0,2.0,604.0,239.0,1935.0,2000000.0,Marshall,2017-10-28,Brighton East,10.3,-37.92824,145.00922,Southern Metropolitan
5 Charles St,house,3,2.0,0.0,134.0,150.0,1900.0,1465000.0,Biggin,2017-04-03,Abbotsford,2.5,-37.8093,144.9944,Northern Metropolitan
5 Charlotte St,house,2,1.0,2.0,159.0,86.0,1880.0,1000000.0,Peter,2016-11-19,Collingwood,1.6,-37.7962,144.9887,Northern Metropolitan
5 Charlton St,house,3,2.0,2.0,747.0,,,1800000.0,Ray,2017-07-15,Mount Waverley,14.2,-37.88256,145.12518,Eastern Metropolitan
5 Charming St,house,3,2.0,2.0,700.0,,,,,,Hampton East,14.5,-37.9332,145.0304,Southern Metropolitan
5 Chatswood Pl,house,3,1.0,1.0,259.0,,,410000.0,hockingstuart,2018-06-01,Wyndham Vale,27.2,-37.88482,144.61982,Western Metropolitan
5 Childers St,house,3,1.0,2.0,,,,1250000.0,Nelson,2017-09-09,Kew,5.4,-37.80044,145.04419,Southern Metropolitan
5 Chlotte Ct,house,4,,,,,,760000.0,Nelson,2017-09-09,Taylors Lakes,15.5,,,Western Metropolitan
5 Church St,house,4,2.0,2.0,711.0,,,,,,Burwood,11.7,-37.8513,145.0965,Southern Metropolitan
5 Claremont Pl,house,3,2.0,2.0,,,2012.0,676000.0,HAR,2018-10-02,Epping,19.6,-37.629,145.01405,Northern Metropolitan
5 Clarke Dr,house,5,2.0,1.0,536.0,,,660000.0,Barry,2017-06-17,Gladstone Park,12.9,-37.6852,144.89853,Western Metropolitan
5 Cleve Gr,house,3,1.0,2.0,600.0,,,,,,Heidelberg,8.9,-37.75101,145.0622,Eastern Metropolitan
5 Cliveden Ct,house,4,2.0,2.0,520.0,,,,,,Seabrook,15.5,-37.87461,144.76306,Western Metropolitan
5 Clover Ct,house,5,2.0,2.0,781.0,,,1100000.0,Brad,2016-05-14,Keilor East,12.8,-37.7497,144.8746,Western Metropolitan
5 Cole Ct,house,4,2.0,2.0,662.0,,,769000.0,Barry,2017-06-24,Bundoora,12.1,-37.69582,145.07639,Northern Metropolitan
5 Collier Cr,house,3,1.0,0.0,,,,1400000.0,Nelson,2017-03-09,Brunswick,5.2,-37.77203,144.9539,Northern Metropolitan
5 Collins Ct,townhouse,3,2.0,2.0,400.0,,,1810000.0,Noel,2017-03-06,Balwyn,7.9,-37.80511,145.08972,Southern Metropolitan
5 Columban Av,house,4,,,,,,1865000.0,Frank,2017-03-06,Strathmore,8.2,,,Western Metropolitan
5 Combe Ct,house,3,1.0,1.0,525.0,,1980.0,556000.0,hockingstuart,2017-12-08,Epping,19.6,-37.64421,145.03773,Northern Metropolitan
5 Comino Rd,house,5,2.0,2.0,,0.0,2010.0,720000.0,Bells,2017-09-16,Sunshine West,10.5,-37.79324,144.79389,Western Metropolitan
5 Connell St,house,2,1.0,1.0,230.0,116.65,1890.0,1857000.0,Jellis,2017-12-08,Hawthorn,5.3,-37.81813,145.02295,Southern Metropolitan
5 Cooley La,house,3,2.0,2.0,,162.0,2004.0,780000.0,Ray,2017-09-09,Mulgrave,18.8,-37.92247,145.18747,South-Eastern Metropolitan
5 Cooloongatta Rd,house,3,2.0,0.0,584.0,213.0,1920.0,1800000.0,Marshall,2016-04-16,Camberwell,7.8,-37.8349,145.0758,Southern Metropolitan
5 Coorie Cr,house,3,,,,,,1101000.0,Miles,2017-01-07,Rosanna,8.9,,,Eastern Metropolitan
5 Cornish St,house,3,1.0,2.0,807.0,125.0,1970.0,677000.0,Brad,2017-07-10,Sunbury,31.7,-37.57681,144.72245,Western Metropolitan
5 Coulthard Cr,house,4,2.0,2.0,,,,,,,Doreen,25.9,-37.5851,145.1213,Northern Victoria
5 Cresser St,house,4,1.0,4.0,633.0,158.0,1960.0,1200000.0,RT,2016-11-27,Altona North,11.1,-37.8375,144.8541,Western Metropolitan
5 Crew St,house,3,1.0,1.0,616.0,115.0,1960.0,710000.0,Miles,2016-11-19,Yallambie,15.0,-37.7306,145.0854,Northern Metropolitan
5 Crimson Dr,house,3,1.0,3.0,621.0,,1955.0,500000.0,Hall,2017-07-15,Doveton,28.8,-37.98537,145.23505,South-Eastern Metropolitan
5 Crocus Cr,house,3,1.0,1.0,657.0,132.0,1970.0,,,,Glen Waverley,16.7,-37.89912,145.16346,Eastern Metropolitan
5 Croker St,house,3,1.0,2.0,268.0,,,716000.0,Williams,2016-04-16,Newport,8.4,-37.8472,144.8754,Western Metropolitan
5 Cromer Cr,house,4,2.0,1.0,,197.0,1975.0,900000.0,RW,2017-10-21,Mulgrave,18.8,-37.92181,145.17103999999995,South-Eastern Metropolitan
5 Crook St,house,3,1.0,1.0,,117.0,1900.0,1150000.0,Nelson,2017-10-28,Brunswick,5.2,-37.76177,144.9572,Northern Metropolitan
5 Cumberland Av,house,4,,,,,,1850000.0,Noel,2017-05-13,Balwyn North,9.2,,,Southern Metropolitan
5 Cumberland Ch,house,4,2.0,1.0,,,,520000.0,Leeburn,2017-09-09,Sunbury,31.7,-37.57873,144.71996,Western Metropolitan
5 Curtin Av,house,3,,,,,,,,,Hadfield,12.1,,,Northern Metropolitan
5 Dakara Ct,house,3,1.0,2.0,743.0,110.0,1990.0,480000.0,hockingstuart,2017-01-07,Wyndham Vale,27.2,-37.89757,144.63041,Western Metropolitan
5 Daours Ct,house,4,2.0,2.0,585.0,180.0,1950.0,932500.0,Miles,2017-04-22,Watsonia,14.9,-37.7154,145.0777,Northern Metropolitan
5 David St,house,3,2.0,2.0,307.0,,,1550000.0,Fletchers,2018-01-27,Surrey Hills,10.2,-37.82159,145.09521,Southern Metropolitan
5 Davidson St,house,4,1.0,1.0,654.0,,1960.0,951000.0,Miles,2017-08-26,Bellfield,8.8,-37.75399,145.03606000000005,Eastern Metropolitan
5 Davie Cr,house,3,1.0,2.0,635.0,,1980.0,550000.0,Triwest,2017-09-23,Hoppers Crossing,18.4,-37.86866,144.69356000000005,Western Metropolitan
5 Davie La,house,2,2.0,0.0,116.0,,,502000.0,Hodges,2016-08-10,Brighton,11.2,-37.9252,145.0004,Southern Metropolitan
5 Davis Av,house,3,,,,,,2710000.0,Jellis,2017-02-25,South Yarra,3.3,,,Southern Metropolitan
5 Davis Ct,house,3,2.0,4.0,465.0,,,630000.0,Barlow,2017-10-14,Altona Meadows,15.5,-37.87792,144.77918,Western Metropolitan
5 Deakin St,house,3,1.0,1.0,,,,,,,Mitcham,17.2,-37.81237,145.19086,Eastern Metropolitan
5 Dean Ct,house,3,1.0,5.0,537.0,123.0,1960.0,860000.0,Sweeney,2017-09-12,Altona North,9.4,-37.8308,144.83765,Western Metropolitan
5 Democrat Dr,house,3,2.0,3.0,795.0,,,700000.0,iTRAK,2017-09-23,The Basin,27.0,-37.85229,145.30281000000005,Eastern Metropolitan
5 Denise Ct,house,3,2.0,3.0,,148.0,1980.0,570000.0,hockingstuart,2017-09-12,Werribee,14.7,-37.89307,144.64158999999995,Western Metropolitan
5 Diana Dr,house,4,2.0,2.0,660.0,,,,,,Werribee,14.7,-37.87518,144.65465,Western Metropolitan
5 Dianella Wky,townhouse,2,,,,,,675000.0,Miles,2017-03-06,Brunswick East,4.0,,,Northern Metropolitan
5 Dickasons Rd,house,4,2.0,3.0,905.0,,1960.0,1126000.0,Noel,2017-11-11,Heathmont,21.3,-37.8312,145.2445,Eastern Metropolitan
5 Donach Cr,house,3,1.0,1.0,530.0,,,782000.0,Darren,2017-10-21,Bundoora,12.1,-37.69945,145.0774,Northern Metropolitan
5 Donal St,house,3,1.0,2.0,557.0,108.0,1950.0,1255000.0,hockingstuart,2017-04-22,Murrumbeena,12.1,-37.9059,145.0733,Southern Metropolitan
5 Doncaster St,house,4,2.0,4.0,598.0,273.0,2012.0,1705000.0,Jellis,2016-07-30,Ascot Vale,5.9,-37.7774,144.9104,Western Metropolitan
5 Donne St,house,3,1.0,1.0,464.0,,,1090000.0,ASL,2016-12-11,Coburg,7.8,-37.753,144.9485,Northern Metropolitan
5 Dorothea St,house,2,1.0,1.0,342.0,104.0,1945.0,1305000.0,Jellis,2016-08-10,Canterbury,9.0,-37.8326,145.08100000000005,Southern Metropolitan
5 Dover La,house,3,,,,,,1230000.0,RT,2016-08-28,Williamstown,8.0,,,Western Metropolitan
5 Drysdale Ct,house,3,2.0,2.0,590.0,151.0,1981.0,870000.0,hockingstuart,2017-12-08,Scoresby,22.2,-37.89628,145.22294,Eastern Metropolitan
5 Dundas Pl,house,3,1.0,0.0,144.0,160.0,1885.0,,,,Albert Park,3.3,-37.8421,144.9586,Southern Metropolitan
5 Dunloe Ri,house,5,,,,,,1551000.0,Barry,2017-09-12,Templestowe,15.5,,,Eastern Metropolitan
5 Eagle Ct,house,4,2.0,2.0,,152.0,1960.0,,,,Mount Waverley,14.2,-37.89596,145.12049,Eastern Metropolitan
5 Earl St,house,2,1.0,0.0,160.0,72.0,1930.0,,,,Windsor,5.1,-37.8533,144.9937,Southern Metropolitan
5 East Ct,house,5,4.0,2.0,672.0,,,,,,Camberwell,7.8,-37.8403,145.0947,Southern Metropolitan
5 Eastgate St,house,5,2.0,2.0,546.0,313.0,1935.0,1750000.0,HAR,2017-06-24,Oakleigh,12.3,-37.90465,145.08893999999995,Southern Metropolitan
5 Echo Av,house,5,,,,,,1540000.0,Jellis,2016-06-18,Balwyn North,9.2,,,Southern Metropolitan
5 Eden St,house,3,1.0,1.0,370.0,121.0,1965.0,,,,Croydon,23.0,-37.79429,145.26502,Eastern Metropolitan
5 Edgar St,house,5,2.0,2.0,601.0,,1990.0,1266000.0,Nelson,2017-03-06,Reservoir,12.0,-37.7296,145.00714,Northern Metropolitan
5 Edina Av,house,4,,,,,,1970000.0,Biggin,2016-08-28,Port Melbourne,3.8,,,Southern Metropolitan
5 Edlington St,house,2,1.0,2.0,314.0,,,,,,Hawthorn,5.3,-37.82439,145.04381999999995,Southern Metropolitan
5 Eirene St,house,2,,,,,,,,,Yarraville,6.3,,,Western Metropolitan
5 Elder Cl,house,3,2.0,1.0,,,,,,,Meadow Heights,17.4,-37.6425,144.9128,Northern Metropolitan
5 Ellery La,townhouse,3,2.0,1.0,151.0,148.0,,965000.0,Sweeney,2017-02-25,Williamstown,8.0,-37.8666,144.9058,Western Metropolitan
5 Ellesmere St,house,4,2.0,2.0,564.0,161.0,1975.0,1120000.0,Buxton,2017-03-06,Oakleigh South,15.5,-37.93543,145.08408,South-Eastern Metropolitan
5 Elm St,house,3,1.0,1.0,268.0,,,,,,Hawthorn,4.6,-37.8128,145.0174,Southern Metropolitan
5 Empress Ct,house,3,1.0,1.0,586.0,,,472500.0,Biggin,2016-06-18,Sunshine West,13.5,-37.791,144.7925,Western Metropolitan
5 England St,house,4,1.0,2.0,607.0,,,1207000.0,Barry,2017-04-22,Bulleen,11.8,-37.7601,145.0856,Eastern Metropolitan
5 Epsom Rd,house,4,2.0,2.0,314.0,,1995.0,1350000.0,Ray,2017-06-17,Mordialloc,21.5,-38.00585,145.08376,South-Eastern Metropolitan
5 Estelle St,house,4,1.0,3.0,,140.0,1960.0,753000.0,Barry,2018-06-01,Sunshine West,10.5,-37.7876,144.8107,Western Metropolitan
5 Evans Ct,house,3,1.0,1.0,677.0,,,586000.0,YPA,2017-07-29,Broadmeadows,14.0,-37.69265,144.92653,Northern Metropolitan
5 Everest Ct,house,3,1.0,3.0,831.0,,,1500000.0,Fletchers,2017-10-28,Burwood,10.4,-37.85689,145.10633,Southern Metropolitan
5 Fairbank Cr,house,5,,,,,,1097500.0,Barry,2016-11-27,Templestowe Lower,13.8,,,Eastern Metropolitan
5 Fairway Dr,house,4,3.0,2.0,,273.0,1970.0,1837500.0,RT,2017-08-26,Kew East,7.3,-37.79135,145.05166,Southern Metropolitan
5 Faoro Ct,house,3,2.0,4.0,553.0,,,725000.0,Purplebricks,2017-07-29,Keysborough,25.2,-37.99432,145.16143,South-Eastern Metropolitan
5 Fenchurch St,house,4,2.0,4.0,,235.0,2002.0,711000.0,Leading,2017-10-28,Sunbury,31.7,-37.57363,144.74629,Western Metropolitan
5 Fetlock Pl,flat,3,1.0,1.0,592.0,123.0,1970.0,625000.0,HAR,2017-10-28,Epping,19.6,-37.64127,145.05032,Northern Metropolitan
5 Fewster Dr,house,5,2.0,2.0,704.0,202.0,1980.0,1250000.0,OBrien,2017-11-11,Wantirna South,14.7,-37.8833,145.2247,Eastern Metropolitan
5 Field St,flat,3,2.0,1.0,299.0,,,1110000.0,hockingstuart,2016-07-16,Caulfield South,9.3,-37.8891,145.0294,Southern Metropolitan
