Address;Suburb;DistanceFromCenter;Lattitude;Longtitude;Regionname
351 High St;Prahran;4,6;-37,85257;144,99991;Southern Metropolitan
4 Westbourne St;Prahran;4,6;-37,85053;145,00516000000002;Southern Metropolitan
2/25 Wynnstay Rd;Prahran;4,6;;;Southern Metropolitan
8 Beatrice St;Preston;8,4;-37,73721;145,0262;Northern Metropolitan
161 Bell St;Preston;8,4;-37,746559999999995;145,01398;Northern Metropolitan
90a David St;Preston;8,4;;;Northern Metropolitan
46 Erin St;Preston;8,4;-37,745870000000004;144,99245;Northern Metropolitan
4 Evelyn St;Preston;8,4;-37,7374;144,99115;Northern Metropolitan
2/22 Josephine Gr;Preston;8,4;;;Northern Metropolitan
5 Kenneth St;Preston;8,4;-37,74138;145,02029;Northern Metropolitan
24 Livingstone Pde;Preston;8,4;-37,74465;145,00758000000002;Northern Metropolitan
28 Murphy Gr;Preston;8,4;-37,736979999999996;145,01631;Northern Metropolitan
554 Murray Rd;Preston;8,4;-37,736259999999994;144,98969;Northern Metropolitan
1/30 Ruby St;Preston;8,4;;;Northern Metropolitan
7 Wymbir Av;Preston;8,4;-37,74133;145,01768;Northern Metropolitan
8 Ameily Cr;Reservoir;12,0;-37,7104;144,99464;Northern Metropolitan
49 Barry St;Reservoir;12,0;-37,7094;145,00189;Northern Metropolitan
5/97 Barton St;Reservoir;12,0;;;Northern Metropolitan
28 Bourke St;Reservoir;12,0;-37,72444;144,9897;Northern Metropolitan
2 Croft Cr;Reservoir;12,0;-37,720209999999994;145,0035;Northern Metropolitan
109 Crookston Rd;Reservoir;12,0;-37,70955;145,01395;Northern Metropolitan
30 Dawson St;Reservoir;12,0;-37,6994;144,98584;Northern Metropolitan
2/94 Delaware St;Reservoir;12,0;;;Northern Metropolitan
49 Elliot St;Reservoir;12,0;-37,705859999999994;144,99643999999998;Northern Metropolitan
26 Erskine Av;Reservoir;12,0;-37,72269;145,02501999999998;Northern Metropolitan
1/27 Grimwade St;Reservoir;12,0;;;Northern Metropolitan
1075 High St;Reservoir;12,0;-37,69763;145,01073;Northern Metropolitan
2 Jess St;Reservoir;12,0;-37,705059999999996;145,00413;Northern Metropolitan
19 Lindenow St;Reservoir;12,0;-37,69727;145,00491;Northern Metropolitan
11 Lloyd Av;Reservoir;12,0;-37,69827;145,01621;Northern Metropolitan
2/69 Miranda Rd;Reservoir;12,0;;;Northern Metropolitan
3/153 Rathcown Rd;Reservoir;12,0;;;Northern Metropolitan
1/10 Smith St;Reservoir;12,0;;;Northern Metropolitan
1/14 Sturdee St;Reservoir;12,0;;;Northern Metropolitan
309/71 Abinger St;Richmond;2,4;;;Northern Metropolitan
106/20 Burnley St;Richmond;2,4;;;Northern Metropolitan
254 Burnley St;Richmond;2,4;-37,82213;145,00759;Northern Metropolitan
26 Charles St;Richmond;2,4;-37,82394;145,00044;Northern Metropolitan
3/183 Coppin St;Richmond;2,4;;;Northern Metropolitan
7 Coppin St;Richmond;2,4;-37,81689;145,00443;Northern Metropolitan
49 Egan St;Richmond;2,4;-37,81391;144,99306;Northern Metropolitan
5/34 Lord St;Richmond;2,4;;;Northern Metropolitan
405/6 Lord St;Richmond;2,4;;;Northern Metropolitan
2/8 Lord St;Richmond;2,4;;;Northern Metropolitan
13/47 Mary St;Richmond;2,4;;;Northern Metropolitan
6/4 McGrath Ct;Richmond;2,4;-37,82385;144,99933000000001;Northern Metropolitan
5/47 Murphy St;Richmond;2,4;;;Northern Metropolitan
5/4 Smith St;Richmond;2,4;;;Northern Metropolitan
25/9 Tennyson St;Richmond;2,4;;;Northern Metropolitan
21 Type St;Richmond;2,4;-37,821020000000004;145,00978999999998;Northern Metropolitan
51 Arlington St;Ringwood;19,9;-37,81958;145,22151000000002;Eastern Metropolitan
13 James St;Ringwood;19,9;-37,81795;145,22852;Eastern Metropolitan
1A Vine St;Ringwood;19,9;-37,82286;145,22687;Eastern Metropolitan
45 Alexandra Rd;Ringwood East;21,3;-37,81722;145,25083;Eastern Metropolitan
3 Bruce Ct;Ringwood East;21,3;-37,813;145,25542;Eastern Metropolitan
70A Gracedale Av;Ringwood East;21,3;-37,817840000000004;145,26208;Eastern Metropolitan
2 Guest Cl;Ringwood East;21,3;-37,81072;145,24055;Eastern Metropolitan
39A Patterson St;Ringwood East;21,3;-37,81255;145,2461;Eastern Metropolitan
5 Victoria St;Ringwood East;21,3;-37,81134;145,25457;Eastern Metropolitan
13 Cantala Cr;Ringwood North;19,9;-37,79894;145,21712;Eastern Metropolitan
2 McMahon Ct;Ringwood North;19,9;-37,7913;145,24013;Eastern Metropolitan
2/27 Invermay Gr;Rosanna;8,9;;;Eastern Metropolitan
11 Kilcatten Ri;Rowville;23,5;;;South-Eastern Metropolitan
29 Grenville Tce;Roxburgh Park;20,6;-37,62203;144,92236;Northern Metropolitan
45 Stainsby Cr;Roxburgh Park;20,6;-37,63797;144,92776;Northern Metropolitan
125 Beach Rd;Sandringham;15,2;-37,95301;145,00485;Southern Metropolitan
13 Cowper St;Sandringham;15,2;-37,95503;145,00794;Southern Metropolitan
49 Grange Rd;Sandringham;15,2;-37,94825;145,01633999999999;Southern Metropolitan
49 Sims St;Sandringham;15,2;-37,95333;145,01048;Southern Metropolitan
23 Susan St;Sandringham;15,2;-37,94709;145,00733;Southern Metropolitan
2/70 Victoria St;Sandringham;15,2;;;Southern Metropolitan
6 Waverly St;Sandringham;15,2;-37,95413;145,01611;Southern Metropolitan
32 Lorna St;Seaford;35,4;-38,12014;145,14066;South-Eastern Metropolitan
17 Northcote St;Seaford;35,4;-38,09491;145,13468999999998;South-Eastern Metropolitan
10 Rocklea Cr;Skye;34,7;-38,093309999999995;145,20223000000001;South-Eastern Metropolitan
1/147 Cecil St;South Melbourne;1,9;;;Southern Metropolitan
102/333 Ferrars St;South Melbourne;1,9;;;Southern Metropolitan
100 Iffla St;South Melbourne;1,9;-37,84036;144,94847;Southern Metropolitan
215 Moray St;South Melbourne;1,9;-37,83273;144,96353;Southern Metropolitan
114 Napier St;South Melbourne;1,9;-37,83532;144,96501999999998;Southern Metropolitan
64 Raglan St;South Melbourne;1,9;-37,836890000000004;144,9638;Southern Metropolitan
16 Avion Ri;South Morang;20,5;;;Northern Metropolitan
6 Mercury Cct;South Morang;20,5;-37,61672;145,0689;Northern Metropolitan
11 Paddys Pl;South Morang;20,5;-37,61821;145,10505;Northern Metropolitan
15 Payne Pl;South Morang;20,5;-37,65116;145,09417;Northern Metropolitan
39 Rolain Av;South Morang;20,5;-37,63423;145,06856000000002;Northern Metropolitan
63 Davis Av;South Yarra;2,7;-37,839529999999996;144,99039;Southern Metropolitan
10/77 Park St;South Yarra;2,7;;;Southern Metropolitan
24 Portland Pl;South Yarra;2,7;-37,84205;144,99168999999998;Southern Metropolitan
17/26 Toorak Rd;South Yarra;2,7;;;Southern Metropolitan
88 Coventry St;Southbank;0,7;-37,8288;144,96793;Southern Metropolitan
97 Hudsons Rd;Spotswood;6,2;-37,82978;144,88463000000002;Western Metropolitan
8 Thames Av;Springvale;20,8;-37,952490000000004;145,13969;South-Eastern Metropolitan
10 Charlotte St;Springvale South;22,2;-37,97748;145,15559;South-Eastern Metropolitan
38 Albert Cr;St Albans;14,0;-37,7411;144,79621;Western Metropolitan
19 Anna St;St Albans;14,0;-37,7475;144,79025;Western Metropolitan
8 Currajong St;St Albans;14,0;-37,75415;144,81738;Western Metropolitan
68 Denton Av;St Albans;14,0;-37,76484;144,8098;Western Metropolitan
13 Gillespie Rd;St Albans;14,0;-37,735170000000004;144,78804;Western Metropolitan
25 Harris St;St Albans;14,0;-37,75177;144,80173;Western Metropolitan
28 Kerrison Av;St Albans;14,0;-37,728429999999996;144,78999;Western Metropolitan
43 McArthur Av;St Albans;14,0;-37,74118;144,81165;Western Metropolitan
1/68 Alma Rd;St Kilda;5,0;;;Southern Metropolitan
54A Carlisle St;St Kilda;5,0;-37,867290000000004;144,98348000000001;Southern Metropolitan
12/41 Chapel St;St Kilda;5,0;;;Southern Metropolitan
203/24 Crimea St;St Kilda;5,0;;;Southern Metropolitan
3/38 Fitzroy St;St Kilda;5,0;;;Southern Metropolitan
6/17 Robe St;St Kilda;5,0;;;Southern Metropolitan
4/24 Robe St;St Kilda;5,0;;;Southern Metropolitan
14/44 Waterloo Cr;St Kilda;5,0;;;Southern Metropolitan
2/26 Wellington St;St Kilda;5,0;;;Southern Metropolitan
2/95 Wellington St;St Kilda;5,0;;;Southern Metropolitan
5/95 Wellington St;St Kilda;5,0;;;Southern Metropolitan
31 Holyrood Av;Strathmore;8,2;-37,73894;144,90766000000002;Western Metropolitan
19A Tasman Av;Strathmore Heights;8,2;-37,713440000000006;144,89478;Western Metropolitan
49 Archer Av;Sunbury;31,7;-37,585879999999996;144,69953999999998;Western Metropolitan
8 Batman Av;Sunbury;31,7;-37,579609999999995;144,71363;Western Metropolitan
23 Casey Av;Sunbury;31,7;-37,56776;144,72291;Western Metropolitan
13A Keith Av;Sunbury;31,7;-37,57886;144,69987;Western Metropolitan
25 Lister Cr;Sunbury;31,7;-37,56159;144,71262;Western Metropolitan
34 Massie Cct;Sunbury;31,7;-37,59052;144,69756;Western Metropolitan
11 Vaughan St;Sunbury;31,7;-37,58119;144,73883;Western Metropolitan
98 Wilsons La;Sunbury;31,7;-37,58059;144,69333;Western Metropolitan
11 Fraser St;Sunshine;10,5;-37,78586;144,82561;Western Metropolitan
30 High St;Sunshine;10,5;-37,788059999999994;144,84197;Western Metropolitan
5 Kevin St;Sunshine;10,5;-37,79058;144,83958;Western Metropolitan
13c Thomson St;Sunshine;10,5;;;Western Metropolitan
55 Cary St;Sunshine North;10,5;-37,769079999999995;144,82356000000001;Western Metropolitan
1/50 Meadowbank Dr;Sunshine North;10,5;;;Western Metropolitan
50 Suffolk Rd;Sunshine North;10,5;-37,77243;144,83578;Western Metropolitan
3 Allison St;Sunshine West;10,5;-37,79169;144,79081000000002;Western Metropolitan
34 Collenso St;Sunshine West;10,5;-37,78778;144,8098;Western Metropolitan
35 Fontana Cl;Sunshine West;10,5;-37,79567;144,79956;Western Metropolitan
258 Wright St;Sunshine West;10,5;-37,79433;144,81236;Western Metropolitan
4/16 Bona Vista Av;Surrey Hills;10,2;;;Southern Metropolitan
71 Croydon Rd;Surrey Hills;10,2;-37,82323;145,09386;Southern Metropolitan
2/5 Middlesex Rd;Surrey Hills;10,2;;;Southern Metropolitan
23 Scheele St;Surrey Hills;10,2;-37,817370000000004;145,09752;Southern Metropolitan
1/557 Whitehorse Rd;Surrey Hills;10,2;;;Southern Metropolitan
28 Albertine Cr;Sydenham;18,0;-37,710390000000004;144,77957;Western Metropolitan
38a Bungarim Wyn;Sydenham;18,0;;;Western Metropolitan
4 Picadilly Pl;Sydenham;18,0;-37,70756;144,77674;Western Metropolitan
4 Dusky Cr;Tarneit;18,4;-37,83965;144,69442;Western Metropolitan
17 Mallina Gln;Tarneit;18,4;;;Western Metropolitan
486 Sayers Rd;Tarneit;18,4;-37,84901;144,69708;Western Metropolitan
14 Willowood Ct;Taylors Hill;18,0;-37,70961;144,76048;Western Metropolitan
77 Australia Dr;Taylors Lakes;15,5;-37,70782;144,78295;Western Metropolitan
63 Cambridge Cr;Taylors Lakes;15,5;-37,68251;144,77764;Western Metropolitan
45 Salamander Dr;Taylors Lakes;15,5;-37,69102;144,78505;Western Metropolitan
7 Sandpiper Dr;Taylors Lakes;15,5;-37,697829999999996;144,78773;Western Metropolitan
71 Wellesley Dr;Taylors Lakes;15,5;-37,69048;144,78701999999998;Western Metropolitan
5 Austin Pl;Templestowe;15,5;-37,76375;145,16165;Eastern Metropolitan
15 Dellas Av;Templestowe;15,5;-37,75215;145,12418;Eastern Metropolitan
5 Dunloe Ri;Templestowe;15,5;;;Eastern Metropolitan
3/31 Oliver Rd;Templestowe;15,5;;;Eastern Metropolitan
4 Princeton Pl;Templestowe;15,5;-37,75378;145,16268;Eastern Metropolitan
28 Rosco Dr;Templestowe;15,5;-37,75297;145,16246999999998;Eastern Metropolitan
239 Serpells Rd;Templestowe;15,5;-37,76744;145,15543;Eastern Metropolitan
9 Wynnewood Ct;Templestowe;15,5;-37,756440000000005;145,15528;Eastern Metropolitan
226 Greenslopes Dr;Templestowe Lower;12,4;-37,75612;145,10636;Eastern Metropolitan
40 Bickley Av;Thomastown;15,3;-37,680820000000004;145,03922;Northern Metropolitan
3/86 Heyington Av;Thomastown;15,3;;;Northern Metropolitan
4 Kerang Pl;Thomastown;15,3;-37,6756;144,98667;Northern Metropolitan
9 Travers St;Thomastown;15,3;-37,67467;145,01348000000002;Northern Metropolitan
3/11 Clarendon St;Thornbury;7,0;;;Northern Metropolitan
141 Harold St;Thornbury;7,0;-37,75558;144,9875;Northern Metropolitan
58 Johnson St;Thornbury;7,0;-37,76177;144,99907;Northern Metropolitan
7/20 Kemp St;Thornbury;7,0;;;Northern Metropolitan
1/106 Keon St;Thornbury;7,0;;;Northern Metropolitan
3/184 Normanby Av;Thornbury;7,0;;;Northern Metropolitan
31 Normanby Av;Thornbury;7,0;-37,75928;144,99707;Northern Metropolitan
4/59 Pender St;Thornbury;7,0;;;Northern Metropolitan
5/123 Shaftesbury Pde;Thornbury;7,0;;;Northern Metropolitan
45 Heyington Pl;Toorak;4,1;-37,83521;145,02219;Southern Metropolitan
6/637 Malvern Rd;Toorak;4,1;;;Southern Metropolitan
11/18 Tintern Av;Toorak;4,1;;;Southern Metropolitan
16/1 Millar Rd;Tullamarine;12,9;;;Western Metropolitan
1 Bolinda Pl;Vermont;17,2;-37,843509999999995;145,19246;Eastern Metropolitan
62 Scott St;Vermont;17,2;-37,83315;145,2026;Eastern Metropolitan
3 Trinian St;Vermont;17,2;-37,840090000000004;145,19953999999998;Eastern Metropolitan
4 Cavill Ct;Vermont South;17,2;-37,856809999999996;145,17831999999999;Eastern Metropolitan
85 Rutherford Rd;Viewbank;8,9;-37,73955;145,09105;Eastern Metropolitan
15 Chequers Cl;Wantirna;14,7;-37,86422;145,2272;Eastern Metropolitan
7 Apollo Ct;Wantirna South;14,7;-37,8661;145,22118;Eastern Metropolitan
13 Bells Ct;Wantirna South;14,7;-37,88715;145,21598;Eastern Metropolitan
25 Crellin Cr;Watsonia;14,5;-37,70827;145,08466;Northern Metropolitan
20 Weatherlake St;Watsonia;14,5;-37,70508;145,08563;Northern Metropolitan
5 Denise Ct;Werribee;14,7;-37,89307;144,64158999999998;Western Metropolitan
42 Filmont Dr;Werribee;14,7;-37,908879999999996;144,68216999999999;Western Metropolitan
12 Garden Ct;Werribee;14,7;-37,8786;144,65481;Western Metropolitan
5 Hodge St;Werribee;14,7;-37,90961;144,65543;Western Metropolitan
11 Jabiru Ct;Werribee;14,7;-37,88255;144,66385;Western Metropolitan
30 Latham St;Werribee;14,7;;;Western Metropolitan
3 Penn Cl;Werribee;14,7;-37,9009;144,67386000000002;Western Metropolitan
5 Pyke St;Werribee;14,7;-37,90721;144,65636;Western Metropolitan
21 Westminster Dr;Werribee;14,7;-37,89277;144,63626000000002;Western Metropolitan
6/12 Carmichael St;West Footscray;6,4;;;Western Metropolitan
114 Essex St;West Footscray;6,4;-37,793859999999995;144,87843;Western Metropolitan
242 Essex St;West Footscray;6,4;-37,7924;144,86834;Western Metropolitan
21 Glamis Rd;West Footscray;6,4;-37,80635;144,87448;Western Metropolitan
17 Stanley St;West Footscray;6,4;-37,79184;144,87356;Western Metropolitan
54 Wellington St;West Footscray;6,4;-37,79139;144,86596;Western Metropolitan
39 Arnside Cr;Westmeadows;16,5;-37,680679999999995;144,87375;Northern Metropolitan
1 Greenbriar Av;Wheelers Hill;16,7;-37,89969;145,18551000000002;South-Eastern Metropolitan
41 Jells Rd;Wheelers Hill;16,7;-37,89651;145,19073;South-Eastern Metropolitan
1/7 James St;Whittlesea;35,5;;;Northern Victoria
9 Ovens Cct;Whittlesea;35,5;-37,50529;145,11279;Northern Victoria
2 Caspian Tce;Williamstown;6,8;-37,85649;144,87376;Western Metropolitan
90 Osborne St;Williamstown;6,8;-37,866279999999996;144,89767;Western Metropolitan
12 Paas Pl;Williamstown;6,8;-37,85884;144,87752;Western Metropolitan
26 Pasco St;Williamstown;6,8;-37,86097;144,90015;Western Metropolitan
10 Queen St;Williamstown;6,8;-37,854279999999996;144,89488;Western Metropolitan
21a Henry St;Windsor;4,6;-37,854209999999995;144,98503;Southern Metropolitan
4/15 Wrexham Rd;Windsor;4,6;;;Southern Metropolitan
3 Beresford Rd;Wollert;25,5;-37,60856;145,0149;Northern Metropolitan
21 Dalwood Wy;Wollert;25,5;-37,61031;145,0401;Northern Metropolitan
102 Highpark Dr;Wollert;25,5;-37,61611;145,01838999999998;Northern Metropolitan
1 Hotspur Dr;Wollert;25,5;-37,61831;145,02372;Northern Metropolitan
4 Muzzlewood Wy;Wollert;25,5;-37,61313;145,03937;Northern Metropolitan
6 Raychelsbury Pde;Wollert;25,5;-37,61929;145,01613;Northern Metropolitan
18 Ryrie Gr;Wollert;25,5;-37,61841;145,03916;Northern Metropolitan
6 Saintly Av;Wollert;25,5;-37,61835;145,01672;Northern Metropolitan
20 Whitebark St;Wollert;25,5;-37,612120000000004;145,04084;Northern Metropolitan
56 Aldridge Rd;Wyndham Vale;27,2;-37,89738;144,61158;Western Metropolitan
15 Carmichael Dr;Wyndham Vale;27,2;-37,88893;144,61185;Western Metropolitan
18 Greenwood St;Wyndham Vale;27,2;-37,89087;144,62252;Western Metropolitan
4 MacLarens Cl;Wyndham Vale;27,2;;;Western Metropolitan
245 McGrath Rd;Wyndham Vale;27,2;-37,89783;144,62831;Western Metropolitan
26 Ribblesdale Av;Wyndham Vale;27,2;-37,89552;144,61926;Western Metropolitan
19 Whitmore Pl;Wyndham Vale;27,2;-37,883179999999996;144,61741;Western Metropolitan
20 Salisbury St;Yarraville;6,3;-37,82345;144,8835;Western Metropolitan
2/23 Coate Av;Alphington;5,7;;;Northern Metropolitan
84 McLaughlin St;Ardeer;12,8;-37,7807;144,80031;Western Metropolitan
231 Huntingdale Rd;Ashwood;10,2;-37,87126;145,11084;Southern Metropolitan
8 Carpentaria Ct;Aspendale Gardens;21,5;-38,019859999999994;145,12546;South-Eastern Metropolitan
22 The Crest;Attwood;16,5;-37,67331;144,88902;Northern Metropolitan
18 Westminster Dr;Avondale Heights;9,5;-37,76406;144,86071;Western Metropolitan
38 Hill St;Bentleigh East;13,8;-37,92347;145,06073999999998;Southern Metropolitan
12 Palmerston St;Berwick;35,2;-38,032309999999995;145,35594;Eastern Victoria
19 Sylvia St;Blackburn South;13,4;-37,84417;145,14483;Eastern Metropolitan
7 Damar Av;Boronia;25,0;-37,851490000000005;145,28302;Eastern Metropolitan
145 Cameron Pde;Bundoora;12,1;-37,698859999999996;145,07974;Northern Metropolitan
5/5 Greenhills Rd;Bundoora;12,1;-37,69198;145,06157;Northern Metropolitan
2/34 McComas Gr;Burwood;10,4;;;Southern Metropolitan
1/24 Barry Rd;Burwood East;14,7;;;Eastern Metropolitan
1 Aberfeldie Wy;Caroline Springs;14,8;-37,72705;144,74856;Western Metropolitan
9 The Entrance;Caroline Springs;14,8;-37,72396;144,74698;Western Metropolitan
1/14 Jack Rd;Cheltenham;17,9;;;Southern Metropolitan
10 Jells Rd;Cheltenham;17,9;-37,96735;145,08028000000002;Southern Metropolitan
14 Leon St;Cheltenham;17,9;-37,96072;145,06125;Southern Metropolitan
18 Glenmorgan Cl;Clayton South;17,5;-37,94944;145,13484;South-Eastern Metropolitan
5 Blairgowrie Dr;Craigieburn;20,6;-37,586240000000004;144,90553;Northern Metropolitan
13 Cockatiel Cct;Craigieburn;20,6;-37,57452;144,90666000000002;Northern Metropolitan
1/76 Gillingham Cr;Craigieburn;20,6;;;Northern Metropolitan
25 Spurr St;Craigieburn;20,6;-37,59406;144,93497;Northern Metropolitan
6 Vali Rd;Craigieburn;20,6;-37,596790000000006;144,89435;Northern Metropolitan
79 Diane Cr;Croydon;23,0;-37,78272;145,30275;Eastern Metropolitan
31 Kallay St;Croydon;23,0;-37,791509999999995;145,25778;Eastern Metropolitan
45 Norris Cct;Croydon;23,0;-37,77749;145,29973;Eastern Metropolitan
8 Vicki St;Croydon;23,0;-37,77499;145,2999;Eastern Metropolitan
32 Longfield Wy;Deer Park;14,8;-37,778690000000005;144,759;Western Metropolitan
24 Tasman Av;Deer Park;14,8;-37,7576;144,77138;Western Metropolitan
9 Glass Cr;Doreen;25,9;-37,61882;145,13333;Northern Victoria
159 Orchard Rd;Doreen;25,9;-37,61786;145,12631000000002;Northern Victoria
27 Power Rd;Doveton;28,8;-37,99613;145,23803999999998;South-Eastern Metropolitan
90 Livingstone Rd;Eltham;18,0;-37,71011;145,15931;Eastern Metropolitan
80 Kilvington Dr;Emerald;36,9;-37,94625;145,44082;Eastern Victoria
61 Shields St;Epping;19,6;-37,62369;145,01013999999998;Northern Metropolitan
47 Major Rd;Fawkner;13,1;-37,70785;144,97087;Northern Metropolitan
11 Beckenham Dr;Ferntree Gully;24,8;-37,88475;145,2588;Eastern Metropolitan
5/7 Hillcrest Av;Ferntree Gully;24,8;;;Eastern Metropolitan
36 Seabreeze Av;Ferny Creek;29,5;-37,8773;145,3286;Eastern Victoria
36 Raleigh St;Footscray;5,1;-37,80242;144,89539;Western Metropolitan
79 Husband Rd;Forest Hill;15,4;-37,83923;145,18038;Eastern Metropolitan
26 Thornhill Dr;Forest Hill;15,4;-37,83742;145,17068;Eastern Metropolitan
15 Inglis Av;Frankston;38,0;-38,13024;145,12663;South-Eastern Metropolitan
160 Karingal Dr;Frankston;38,0;-38,14693;145,16493;South-Eastern Metropolitan
37 Summit Rd;Frankston;38,0;-38,15826;145,12705;South-Eastern Metropolitan
8 Yarla Ct;Frankston;38,0;-38,14921;145,16866000000002;South-Eastern Metropolitan
29 Norfolk St;Glen Waverley;16,7;-37,89888;145,14441000000002;Eastern Metropolitan
49 Plumpton Av;Glenroy;11,2;-37,711209999999994;144,92258999999999;Northern Metropolitan
119A View St;Glenroy;11,2;-37,69578;144,92386000000002;Northern Metropolitan
3 Monteiro Ct;Greenvale;20,4;-37,614129999999996;144,91236;Northern Metropolitan
2/8 Auburn Gr;Hawthorn East;6,2;;;Southern Metropolitan
189 Canterbury Rd;Heathmont;21,3;-37,83206;145,24175;Eastern Metropolitan
56 Outhwaite Rd;Heidelberg Heights;8,8;-37,73962;145,05393;Eastern Metropolitan
22 Lansell Av;Highett;16,0;;;Southern Metropolitan
23 Middleton St;Highett;16,0;-37,95049;145,03915;Southern Metropolitan
25 Burnham Dr;Hoppers Crossing;18,4;-37,88917;144,68263000000002;Western Metropolitan
21 Madison Dr;Hoppers Crossing;18,4;-37,88496;144,69323;Western Metropolitan
201 Morris Rd;Hoppers Crossing;18,4;-37,86717;144,70313000000002;Western Metropolitan
15 Sheahan Cr;Hoppers Crossing;18,4;-37,87084;144,69975;Western Metropolitan
24 Parsons St;Kensington;3,4;-37,7901;144,93248;Northern Metropolitan
174 Dunne St;Kingsbury;12,1;-37,71322;145,03208;Northern Metropolitan
77 Applewood Dr;Knoxfield;23,3;-37,8784;145,25118;Eastern Metropolitan
7A Rose Ct;Lilydale;29,9;-37,76463;145,3679;Eastern Victoria
120 Shankland Bvd;Meadow Heights;17,4;-37,64417;144,92848;Northern Metropolitan
1915/250 Elizabeth St;Melbourne;0,0;;;Northern Metropolitan
61 Marina Dr;Melton;31,7;-37,67499;144,58266;Western Victoria
14 Bridgeford Cr;Melton South;29,8;-37,713570000000004;144,57512;Western Victoria
4 Kurrajong Cr;Melton South;29,8;-37,70133;144,57307;Western Victoria
18 Oakfield Ct;Melton South;29,8;-37,69957;144,57685;Western Victoria
84 Westmelton Dr;Melton West;31,7;-37,67549;144,55873;Northern Victoria
10 Birch St;Mentone;20,0;-37,981120000000004;145,05739;South-Eastern Metropolitan
1 Walden Rd;Mentone;20,0;-37,98666;145,06145;South-Eastern Metropolitan
10 Castello St;Mernda;25,9;-37,60037;145,08468;Northern Metropolitan
2 Honeysuckle Ct;Mill Park;17,9;-37,67003;145,0482;Northern Metropolitan
15 Incana Dr;Mill Park;17,9;-37,66892;145,07953999999998;Northern Metropolitan
86 Moorhead Dr;Mill Park;17,9;-37,65872;145,05899;Northern Metropolitan
6A Barilla Rd;Moorabbin;14,3;-37,9412;145,04263;Southern Metropolitan
3/1 William St;Moorabbin;14,3;-37,94454;145,04438000000002;Southern Metropolitan
19A Blanton Dr;Mulgrave;18,8;-37,93581;145,20977;South-Eastern Metropolitan
15 Edmonds St;Narre Warren;34,1;-37,999959999999994;145,30348;South-Eastern Metropolitan
3/3 Jubilee St;Newport;6,2;-37,84772;144,87201000000002;Western Metropolitan
59 Baillie St;North Melbourne;1,8;-37,8017;144,94602;Northern Metropolitan
22 Heath Av;Oakleigh;12,3;-37,90191;145,09857;Southern Metropolitan
54 Balmoral Dr;Parkdale;21,5;-37,98496;145,08871000000002;South-Eastern Metropolitan
1/8 Ancona Ct;Point Cook;14,7;;;Western Metropolitan
21 Atkinson Cl;Point Cook;14,7;-37,89555;144,71847;Western Metropolitan
19 Beveridge Ct;Point Cook;14,7;-37,89322;144,74983999999998;Western Metropolitan
48 Ladybird Cr;Point Cook;14,7;;;Western Metropolitan
63 Lancaster Dr;Point Cook;14,7;;;Western Metropolitan
11 Livorno La;Point Cook;14,7;-37,88605;144,74302;Western Metropolitan
81 Wilcox St;Preston;8,4;-37,73602;145,00574;Northern Metropolitan
10/59 St Vigeons Rd;Reservoir;12,0;;;Northern Metropolitan
1/64 Mt Dandenong Rd;Ringwood East;21,3;;;Eastern Metropolitan
30 Westminster Dr;Rowville;23,5;-37,9302;145,24241;South-Eastern Metropolitan
9 Corona Pl;Roxburgh Park;20,6;-37,62211;144,93483999999998;Northern Metropolitan
2/190 Bay Rd;Sandringham;15,2;;;Southern Metropolitan
10 Holroyd St;Seaford;35,4;-38,11305;145,14558;South-Eastern Metropolitan
182 Pilgrim St;Seddon;5,1;-37,80421;144,88637;Western Metropolitan
20 Serendip Av;South Morang;20,5;-37,62057;145,10877;Northern Metropolitan
191/173 City Rd;Southbank;0,7;;;Southern Metropolitan
58/88 Southbank Bvd;Southbank;0,7;;;Southern Metropolitan
29 Harold Rd;Springvale South;22,2;-37,97528;145,15226;South-Eastern Metropolitan
11 Cox St;St Albans;14,0;-37,75732;144,80542;Western Metropolitan
2/107 Fox St;St Albans;14,0;;;Western Metropolitan
5 Harmony Dr;Tarneit;18,4;-37,860859999999995;144,66193;Western Metropolitan
260b Gooch St;Thornbury;7,0;;;Northern Metropolitan
7 Rutherglen Rd;Vermont South;17,2;-37,85154;145,19804;Eastern Metropolitan
2/7 Anglia Ct;Werribee;14,7;;;Western Metropolitan
241 Shaws Rd;Werribee;14,7;-37,89046;144,66737;Western Metropolitan
1B Dianella Ct;West Footscray;6,4;-37,80696;144,86811;Western Metropolitan
41 Francis St;Yarraville;6,3;-37,82183;144,89488;Western Metropolitan
28 Regent St;Yarraville;6,3;-37,812090000000005;144,8874;Western Metropolitan
504/12 Trenerry Cr;Abbotsford;3,0;;;Northern Metropolitan
103/87 Dundas Pl;Albert Park;3,0;;;Southern Metropolitan
17 Perth Av;Albion;10,5;-37,77843;144,81476;Western Metropolitan
17 Bell Av;Altona;11,0;-37,87106;144,80523;Western Metropolitan
3 Armiston Gr;Altona Meadows;15,5;-37,87635;144,78974;Western Metropolitan
4 Huia Cl;Altona Meadows;15,5;-37,879740000000005;144,79002;Western Metropolitan
22 Roach Dr;Altona Meadows;15,5;-37,88447;144,78309;Western Metropolitan
29 Bunting Ct;Altona North;9,4;-37,84037;144,84305;Western Metropolitan
2/26 Jeffrey Av;Altona North;9,4;;;Western Metropolitan
20 Chelsey St;Ardeer;12,8;-37,77556;144,79811999999998;Western Metropolitan
